vp;group;prz_emotionhappy;prz_emotionsad;prz_neutralhappy;prz_neutralsad;n_scale1_emotionhappy;n_scale1_emotionsad;n_scale1_neutralhappy;n_scale1_neutralsad;efficiency_emotionhappy;efficiency_emotionsad;efficiency_neutralhappy;efficiency_neutralsad
100;control;55,9523809523810;65,0000000000000;92,3076923076923;87,5000000000000;93;195;140;140;0,6016385048643114;0,3333333333333333;0,659340659340659;0,625000000000000
101;experimental;80,3921568627451;59,3750000000000;83,0303030303030;83,9393939393939;96;142;118;118;0,8374183006535948;0,4181338028169014;0,703646635850026;0,711350796096559
102;control;88,5714285714286;72,4444444444444;75,5172413793103;77,5862068965517;82;154;120;120;1,0801393728222997;0,4704184704184704;0,629310344827586;0,646551724137931
103;control;79,3750000000000;72,7450980392157;65,7575757575758;67,7272727272727;91;291;194;194;0,8722527472527473;0,2499831547739370;0,338956576069978;0,349109653233365
104;control;71,1111111111111;66,0000000000000;81,6666666666667;79,8333333333333;103;126;115;115;0,6903991370010788;0,5238095238095238;0,710144927536232;0,694202898550725
105;control;85,1111111111111;84,6666666666667;70,0000000000000;70,3333333333333;90;97;93;94;0,9456790123456791;0,8728522336769760;0,752688172043011;0,748226950354610
S07;control;78,2051282051282;66,6666666666667;76,3829787234043;78,1914893617021;123;151;136;136;0,6358140504481968;0,4415011037527593;0,561639549436796;0,574937421777222
S08;control;56,1666666666667;58,2352941176471;89,1891891891892;87,8378378378378;213;263;236;236;0,2636932707355242;0,2214269738313576;0,377920293174530;0,372194228126431
S10;control;60,0000000000000;61,0000000000000;82,5581395348837;85,2325581395349;93;128;109;109;0,6451612903225806;0,4765625000000000;0,757414124173245;0,781950074674632
S12;control;72,4561403508772;71,1111111111111;84,0000000000000;76,5000000000000;151;170;161;161;0,4798419890786569;0,4183006535947713;0,521739130434783;0,475155279503106
S14;experimental;73,5294117647059;71,4285714285714;77,3684210526316;73,4210526315789;259;129;187;188;0,2838973427208721;0,5537098560354374;0,413734871939206;0,390537513997760
